Frederick Graff Memorial,FAIRMOUNT WATER WORKS DR,Fairmount Water Works,39.9656409,-75.1832339
Washington Monument,26TH ST AND THE BENJAMIN FRANKLIN PKWY,Benjamin Franklin Parkway,39.96426541,-75.17915858
Spanning the Continent,KELLY DR,East Fairmount Park,39.97332935,-75.19068791
Prophet,110 N 16TH ST,Cret Park,39.95528625,-75.16658744
Aero Memorial,200 N 19TH ST,"Benjamin Franklin Parkway, Logan Circle",39.95809946,-75.17204185
Stephen B. Girard,2500 SPRING GARDEN ST,"East Fairmount Park, Reilly Memorial",39.96636538,-75.1823007
Tiger at Bay,"KELLY DR, BETWEEN  PHILADELPHIA MUSEUM OF ART  AND SEDGELEY DR",East Fairmount Park,39.9684271,-75.18215014
Birth of a Nation,KELLY DR,East Fairmount Park,39.97275023,-75.19043322
Joan of Arc,KELLY DR AT 25TH ST,East Fairmount Park,39.96649011,-75.17916695
"Kopernik (Nicolaus Copernicus, 1473-1543)",1716-34 RACE ST,Kopernicus Triangle,39.95679841,-75.16849753
The Gates of Hell,"BENJAMIN FRANKLIN PKWY, RODIN MUSEUM",Benjamin Franklin Parkway,39.96136186,-75.17447348
Commodore John Barry,500-36 CHESTNUT ST,Independence Square,39.94834229,-75.15015391
The Wedges,"EAST FAIRMOUNT PARK, KELLY DR AND SEDGLEY DR",East Fairmount Park,39.97010182,-75.18413004
General Casimir Pulaski,2500 SPRING GARDEN ST,"East Fairmount Park, Reilly Memorial",39.96686614,-75.18238833
Basilica Green,201-07 N 18TH ST,Benjamin Franklin Parkway,39.95717215,-75.1688098
Police and Fire Memorial,200 N 6TH ST,Franklin Square,39.95538678,-75.14981303
George Washington (Revolutionary War Memorial),600 WALNUT ST,Washington Square,39.94710146,-75.15273894
Settling of the Seaboard,KELLY DR,East Fairmount Park,39.97246944,-75.19033325
General Richard Montgomery,2500 SPRING GARDEN ST,"East Fairmount Park, Reilly Memorial",39.96665108,-75.18265103
Shakespeare Memorial,3023 GRAYS FERRY AVE,"Benjamin Franklin Parkway, Logan Circle",39.95875764,-75.17120801
Thorfinn Karlsefni,KELLY DR,East Fairmount Park,39.97020802,-75.1900185
Tortoise Family Group (3 figures),2301-23 PINE ST,Fitler Square,39.94760715,-75.17978361
Chief Justice John Marshall,2500 SPRING GARDEN ST,Philadelphia Museum of Art,39.96621671,-75.18178931
The Puritan,KELLY DR,East Fairmount Park,39.97240751,-75.19032176
Ploughman,KELLY DR,East Fairmount Park,39.97343283,-75.19065764
Lion Crushing A Serpent,1800 WALNUT ST,Rittenhouse Square,39.94966049,-75.17205002
Title Unknown (Mask),1800 WALNUT ST,Rittenhouse Square,39.94927757,-75.17169423
General Anthony Wayne,2500 SPRING GARDEN ST,Philadelphia Museum of Art,39.96472967,-75.18090214
Stone Age in America,KELLY DR BETWEEN BOAT HOUSE ROW AND ELLEN PHILLIPS SAMUEL MEMORIAL,East Fairmount Park,39.9719636,-75.19018995
The Statesman,KELLY DR,East Fairmount Park,39.97279558,-75.19046468
John Paul Jones,2500 SPRING GARDEN ST,"East Fairmount Park, Reilly Memorial",39.96704186,-75.18266953
Prometheus Strangling the Vulture,2500 SPRING GARDEN ST,Philadelphia Museum of Art,39.96559938,-75.18095094
Duck Girl,1800 WALNUT ST,Rittenhouse Square,39.94938372,-75.17178974
The Pilgrim,KELLY DR AT LEMON HILL DR,East Fairmount Park,39.97009083,-75.18867022
Gamekeeper's Night Dog,2501 PENNSYLVANIA AVE,East Fairmount Park,39.96720349,-75.17891281
John Ericsson Fountain,26TH ST AND THE BENJAMIN FRANKLIN PKWY,Benjamin Franklin Parkway,39.96389938,-75.1795928
Marquis de Lafayette,2500 SPRING GARDEN ST,"East Fairmount Park, Reilly Memorial",39.9670362,-75.18316431
"Eli Kirk Price, Jr. Fountain",26TH ST AND THE BENJAMIN FRANKLIN PKWY,Benjamin Franklin Parkway,39.9646197,-75.17870689
